Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date Offered,Date of Introduction,Number of Cosponsors,Date Submitted,Date Proposed,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
S. 4756,https://www.congress.gov/bill/116th-congress/senate-bill/4756,116th Congress (2019-2020),Don’t Push My Buttons Act,,"Kennedy, John [Sen.-R-LA]",,9/29/20,0,,,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",9/29/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Science, Technology, Communications",Evidence and witnesses,Civil actions and liability,Internet and video services,"Internet, web applications, social media",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4761,https://www.congress.gov/bill/116th-congress/senate-bill/4761,116th Congress (2019-2020),Primary and Behavioral Health Care Access Act of 2020,,"King, Angus S., Jr. [Sen.-I-ME]",,9/30/20,0,,,Senate - Finance,Read twice and referred to the Committee on Finance.,9/30/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Health care costs and insurance,Mental health,Health care coverage and access,Health promotion and preventive care,Insurance industry and regulation,Employee benefits and pensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4762,https://www.congress.gov/bill/116th-congress/senate-bill/4762,116th Congress (2019-2020),"A bill to designate the airport traffic control tower located at Piedmont Triad International Airport in Greensboro, North Carolina, as the ""Senator Kay Hagan Airport Traffic Control Tower"".",,"Burr, Richard [Sen.-R-NC]",,9/30/20,3,,,,Became Public Law No: 116-193.,10/30/20,"Warner, Mark R. [Sen.-D-VA]","Klobuchar, Amy [Sen.-D-MN]","Tillis, Thomas [Sen.-R-NC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Members of Congress,North Carolina,Aviation and airports,Transportation and Public Works,Congressional tributes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4763,https://www.congress.gov/bill/116th-congress/senate-bill/4763,116th Congress (2019-2020),Veteran Engagement Through Electronic Resources and Notifications Study Act of 2020,,"Kennedy, John [Sen.-R-LA]",,9/30/20,0,,,Senate - Veterans' Affairs,Read twice and referred to the Committee on Veterans' Affairs.,9/30/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,Physical fitness and lifestyle,Veterans' medical care,Surgery and anesthesia,Medical research,"Health technology, devices, supplies",Cardiovascular and respiratory health,Congressional oversight,Government studies and investigations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4764,https://www.congress.gov/bill/116th-congress/senate-bill/4764,116th Congress (2019-2020),SAFER Act,,"Tillis, Thomas [Sen.-R-NC]",,9/30/20,1,,,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",9/30/20,"Cornyn, John [Sen.-R-TX]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Housing and Community Development,Natural disasters,Land transfers,Housing and community development funding,Congressional oversight,Public-private cooperation,Environmental health,Floods and storm protection,Government studies and investigations,Emergency planning and evacuation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4765,https://www.congress.gov/bill/116th-congress/senate-bill/4765,116th Congress (2019-2020),Combating Bias in Military Promotions Act,,"Young, Todd [Sen.-R-IN]",,9/30/20,2,,,Senate - Armed Services,Read twice and referred to the Committee on Armed Services.,9/30/20,"Shaheen, Jeanne [Sen.-D-NH]","Boozman, John [Sen.-R-AR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,National Guard and reserves,Military personnel and dependents,Employment discrimination and employee rights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4768,https://www.congress.gov/bill/116th-congress/senate-bill/4768,116th Congress (2019-2020),AIM Act,,"Cotton, Tom [Sen.-R-AR]",,9/30/20,0,,,"Senate - Agriculture, Nutrition, and Forestry","Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.",9/30/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture and Food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4773,https://www.congress.gov/bill/116th-congress/senate-bill/4773,116th Congress (2019-2020),"A bill to establish the Paycheck Protection Program Second Draw Loan, and for other purposes.",,"Collins, Susan M. [Sen.-R-ME]",,9/30/20,1,,,,Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 562.,10/1/20,"Rubio, Marco [Sen.-R-FL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Minority and disadvantaged businesses,Corporate finance and management,Infectious and parasitic diseases,"Agricultural prices, subsidies, credit",Employee benefits and pensions,"Social work, volunteer service, charitable organizations",Public participation and lobbying,Tax-exempt organizations,Accounting and auditing,Business expenses,Emergency medical services and trauma care,Government lending and loan guarantees,Worker safety and health,Computers and information technology,Congressional oversight,Religion,Veterans' organizations and recognition,Wages and earnings,Temporary and part-time employment,Cardiovascular and respiratory health,Business ethics,Bankruptcy,Small business,Small Business Administration,"Life, casualty, property insurance",Appropriations,Administrative law and regulatory procedures,Government studies and investigations,Commerce,Farm Credit Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4774,https://www.congress.gov/bill/116th-congress/senate-bill/4774,116th Congress (2019-2020),"A bill to provide support for air carrier workers, and for other purposes.",,"Wicker, Roger F. [Sen.-R-MS]",,9/30/20,1,,,,Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 563.,10/1/20,"Collins, Susan M. [Sen.-R-ME]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transportation and Public Works,"Interest, dividends, interest rates",Aviation and airports,Small towns,Unemployment,Cardiovascular and respiratory health,Rural conditions and development,Transportation employees,Wages and earnings,Corporate finance and management,Infectious and parasitic diseases,Securities,Employee benefits and pensions,Labor-management relations,Congressional oversight,Emergency medical services and trauma care,Government information and archives,Appropriations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4775,https://www.congress.gov/bill/116th-congress/senate-bill/4775,116th Congress (2019-2020),"A bill to provide continued emergency assistance, educational support, and health care response for individuals, families, and businesses affected by the 2020 coronavirus pandemic.",,"McConnell, Mitch [Sen.-R-KY]",,9/30/20,0,,,,Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 564.,10/1/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commerce,Department of the Interior,"Energy storage, supplies, demand","Environmental assessment, monitoring, research",Intellectual property,Licensing and registrations,Metals,Technology transfer and commercialization,Employment and training programs,Indian lands and resources rights,Infrastructure development,Radioactive wastes and releases,Strategic materials and reserves,Advanced technology and technological innovations,International organizations and cooperation,Manufacturing,Education programs funding,Solid waste and recycling,Mining,Performance measurement,Research and development,Water quality,Water use and supply,Energy research,Research administration and funding,"Competitiveness, trade promotion, trade deficits",Department of Agriculture,Student aid and college costs,Income tax exclusion,Higher education,Special education,Elementary and secondary education,"Teaching, teachers, curricula",Academic performance and assessments,Appropriations,"Life, casualty, property insurance",Farm Credit Administration,Government studies and investigations,Veterans' organizations and recognition,Religion,Small Business Administration,Bankruptcy,Business ethics,Temporary and part-time employment,Corporate finance and management,Employee benefits and pensions,"Social work, volunteer service, charitable organizations",Public participation and lobbying,Tax-exempt organizations,Accounting and auditing,Computers and information technology,Government lending and loan guarantees,Wages and earnings,"Agricultural prices, subsidies, credit",Business expenses,Small business,Federal district courts,Health care quality,Administrative law and regulatory procedures,Federal preemption,Health personnel,Civil actions and liability,Judicial procedure and administration,Legal fees and court costs,Medical tests and diagnostic methods,Self-employed,"Drug safety, medical device, and laboratory regulation",Federal-Indian relations,Evidence and witnesses,Jurisdiction and venue,Product safety and quality,"Health technology, devices, supplies",Cardiovascular and respiratory health,Child care and development,Infectious and parasitic diseases,Child safety and welfare,Indian social and development programs,Child health,Emergency medical services and trauma care,State and local government operations,Worker safety and health,Congressional oversight,Government information and archives,Executive agency funding and structure,Health programs administration and funding,Immunology and vaccination,Medical research,Department of Health and Human Services,Public contracts and procurement,Disability assistance,Home and outpatient care,Guam,State and local taxation,Virgin Islands,Northern Mariana Islands,U.S. territories and protectorates,Income tax credits,American Samoa,Minority education,State and local finance,Alternative and renewable resources,U.S. Postal Service,Coal,Department of Commerce,Department of Education,Domestic violence and child abuse,Educational facilities and institutions,Geography and mapping,Health promotion and preventive care,Income tax deductions,"Marine and coastal resources, fisheries",Mental health,Minority health,Postal service,"Tax administration and collection, taxpayers",Charitable contributions,Health facilities and institutions,Unemployment,Intergovernmental relations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4778,https://www.congress.gov/bill/116th-congress/senate-bill/4778,116th Congress (2019-2020),A bill to require the Secretary of Veterans Affairs to submit to Congress a report on the use of security cameras in medical centers of the Department of Veterans Affairs.,,"Capito, Shelley Moore [Sen.-R-WV]",,10/1/20,2,,,Senate - Veterans' Affairs,Read twice and referred to the Committee on Veterans' Affairs.,10/1/20,"Braun, Mike [Sen.-R-IN]","Manchin, Joe, III [Sen.-D-WV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,"Government employee pay, benefits, personnel management",Veterans' medical care,Right of privacy,Congressional oversight,Department of Veterans Affairs,"Government buildings, facilities, and property",Health facilities and institutions,Health personnel,Photography and imaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4779,https://www.congress.gov/bill/116th-congress/senate-bill/4779,116th Congress (2019-2020),JUDGES Act,,"Young, Todd [Sen.-R-IN]",,10/1/20,0,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,10/1/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Law,Georgia,Florida,Hawaii,Idaho,Indiana,Iowa,Judges,Kansas,Missouri,Nevada,New Jersey,New Mexico,New York State,North Carolina,Puerto Rico,Texas,U.S. territories and protectorates,Federal district courts,Delaware,Congressional oversight,Colorado,Caribbean area,Government studies and investigations,Alabama,Arizona,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4780,https://www.congress.gov/bill/116th-congress/senate-bill/4780,116th Congress (2019-2020),Hurricane Laura Recovery Opportunity Zones Act,,"Kennedy, John [Sen.-R-LA]",,10/1/20,0,,,Senate - Finance,Read twice and referred to the Committee on Finance.,10/1/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxation,Natural disasters,Securities,Louisiana,Income tax rates,Income tax deferral,Disaster relief and insurance,Business investment and capital,Capital gains tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4784,https://www.congress.gov/bill/116th-congress/senate-bill/4784,116th Congress (2019-2020),"A bill to extend the Generalized System of Preferences, and for other purposes.",,"Grassley, Chuck [Sen.-R-IA]",,10/1/20,0,,,Senate - Finance,Read twice and referred to the Committee on Finance.,10/1/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foreign Trade and International Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4785,https://www.congress.gov/bill/116th-congress/senate-bill/4785,116th Congress (2019-2020),Risk-Informed Spending for Cybersecurity Act,,"Portman, Rob [Sen.-R-OH]",,10/1/20,1,,,Senate - Homeland Security and Governmental Affairs,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,10/1/20,"Peters, Gary C. [Sen.-D-MI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Economics and Public Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4787,https://www.congress.gov/bill/116th-congress/senate-bill/4787,116th Congress (2019-2020),Native American Child Protection Act,,"McSally, Martha [Sen.-R-AZ]",,10/1/20,0,,,Senate - Indian Affairs,Read twice and referred to the Committee on Indian Affairs.,10/1/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Native Americans,Intergovernmental relations,Indian social and development programs,Congressional oversight,Sex offenses,Domestic violence and child abuse,"Criminal investigation, prosecution, interrogation",Crimes against children,Crime prevention,Advisory bodies,Child safety and welfare,"Social work, volunteer service, charitable organizations",Assault and harassment offenses,Minority health,Child health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4788,https://www.congress.gov/bill/116th-congress/senate-bill/4788,116th Congress (2019-2020),Protect Parent Organized Direction of Students Act,,"Toomey, Patrick [Sen.-R-PA]",,10/1/20,4,,,Senate - Finance,Read twice and referred to the Committee on Finance.,10/1/20,"Loeffler, Kelly [Sen.-R-GA]","Perdue, David [Sen.-R-GA]","Cramer, Kevin [Sen.-R-ND]","Sasse, Ben [Sen.-R-NE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Infectious and parasitic diseases,Licensing and registrations,Education,"Teaching, teachers, curricula",Cardiovascular and respiratory health,Elementary and secondary education,Emergency medical services and trauma care,Academic performance and assessments,Income tax deductions,Education programs funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4789,https://www.congress.gov/bill/116th-congress/senate-bill/4789,116th Congress (2019-2020),Eliminate the Digital Divide Act of 2020,,"Cornyn, John [Sen.-R-TX]",,10/1/20,1,,,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",10/1/20,"Manchin, Joe, III [Sen.-D-WV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Science, Technology, Communications",State and local government operations,Rural conditions and development,Poverty and welfare assistance,Internet and video services,Telecommunication rates and fees,Federal Communications Commission (FCC),Executive agency funding and structure,Appropriations,Government information and archives,"Internet, web applications, social media",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4792,https://www.congress.gov/bill/116th-congress/senate-bill/4792,116th Congress (2019-2020),RISER Act,,"Moran, Jerry [Sen.-R-KS]",,10/1/20,3,,,Senate - Finance,Read twice and referred to the Committee on Finance.,10/1/20,"Ernst, Joni [Sen.-R-IA]","Roberts, Pat [Sen.-R-KS]","Boozman, John [Sen.-R-AR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Infectious and parasitic diseases,Internet and video services,Rural conditions and development,State and local finance,State and local government operations,Emergency medical services and trauma care,Cardiovascular and respiratory health,"Health technology, devices, supplies",Economic development,Government Operations and Politics,"Internet, web applications, social media",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
