Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date Offered,Date of Introduction,Number of Cosponsors,Date Submitted,Date Proposed,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
S. 2659,https://www.congress.gov/bill/115th-congress/senate-bill/2659,115th Congress (2017-2018),Safe Disposal of Unused Medication Act,,"Collins, Susan M. [Sen.-R-ME]",,4/12/18,6,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,4/12/18,"Shaheen, Jeanne [Sen.-D-NH]","Baldwin, Tammy [Sen.-D-WI]","Hassan, Margaret Wood [Sen.-D-NH]","McCaskill, Claire [Sen.-D-MO]","Warren, Elizabeth [Sen.-D-MA]","Capito, Shelley Moore [Sen.-R-WV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crime and Law Enforcement,Prescription drugs,Solid waste and recycling,"Long-term, rehabilitative, and terminal care",Licensing and registrations,Health personnel,Health information and medical records,Emergency medical services and trauma care,Drug trafficking and controlled substances,"Drug safety, medical device, and laboratory regulation",Department of Justice,Administrative law and regulatory procedures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2660,https://www.congress.gov/bill/115th-congress/senate-bill/2660,115th Congress (2017-2018),DRAIN Act,,"Young, Todd [Sen.-R-IN]",,4/12/18,0,,,Senate - Homeland Security and Governmental Affairs,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,4/12/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government Operations and Politics,Executive agency funding and structure,"Government buildings, facilities, and property",Unemployment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2661,https://www.congress.gov/bill/115th-congress/senate-bill/2661,115th Congress (2017-2018),Hospice Safe Drug Disposal Act of 2018,,"Warren, Elizabeth [Sen.-D-MA]",,4/12/18,3,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,4/12/18,"Collins, Susan M. [Sen.-R-ME]","Rubio, Marco [Sen.-R-FL]","Hassan, Margaret Wood [Sen.-D-NH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prescription drugs,Congressional oversight,Drug trafficking and controlled substances,Government studies and investigations,Health facilities and institutions,Solid waste and recycling,Health personnel,Home and outpatient care,"Long-term, rehabilitative, and terminal care",Medicare,Health information and medical records,Crime and Law Enforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2662,https://www.congress.gov/bill/115th-congress/senate-bill/2662,115th Congress (2017-2018),Handgun Purchaser Licensing Act,,"Van Hollen, Chris [Sen.-D-MD]",,4/12/18,3,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,4/12/18,"Sanders, Bernard [Sen.-I-VT]","Blumenthal, Richard [Sen.-D-CT]","Murphy, Christopher [Sen.-D-CT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Criminal justice information and records,Firearms and explosives,Licensing and registrations,Crime and Law Enforcement,Law enforcement administration and funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2663,https://www.congress.gov/bill/115th-congress/senate-bill/2663,115th Congress (2017-2018),ACRE Act,,"Barrasso, John [Sen.-R-WY]",,4/12/18,10,,,Senate - Environment and Public Works,Read twice and referred to the Committee on Environment and Public Works.,4/12/18,"Grassley, Chuck [Sen.-R-IA]","Roberts, Pat [Sen.-R-KS]","Cotton, Tom [Sen.-R-AR]","Capito, Shelley Moore [Sen.-R-WV]","Enzi, Michael B. [Sen.-R-WY]","Fischer, Deb [Sen.-R-NE]","Crapo, Mike [Sen.-R-ID]","Boozman, John [Sen.-R-AR]","Inhofe, James M. [Sen.-R-OK]","Risch, James E. [Sen.-R-ID]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Protection,Agricultural conservation and pollution,Congressional oversight,Endangered and threatened species,"Energy storage, supplies, demand",Environmental Protection Agency (EPA),Environmental regulatory procedures,Hazardous wastes and toxic substances,"Marine and coastal resources, fisheries",Motor fuels,Oil and gas,Pest management,Seafood,State and local government operations,Trade restrictions,User charges and fees,Water quality,Administrative law and regulatory procedures,Agricultural practices and innovations,Aquaculture,Birds,Department of the Interior,Government information and archives,Hunting and fishing,Licensing and registrations,Wildlife conservation and habitat protection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2664,https://www.congress.gov/bill/115th-congress/senate-bill/2664,115th Congress (2017-2018),GEAR UP for Success Act of 2018,,"Cornyn, John [Sen.-R-TX]",,4/12/18,3,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions. (text of measure as introduced: CR S2123-2124)",4/12/18,"Manchin, Joe, III [Sen.-D-WV]","Tillis, Thomas [Sen.-R-NC]","Harris, Kamala D. [Sen.-D-CA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education,Education of the disadvantaged,Education programs funding,Elementary and secondary education,Government lending and loan guarantees,Government studies and investigations,Higher education,Student aid and college costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2665,https://www.congress.gov/bill/115th-congress/senate-bill/2665,115th Congress (2017-2018),A bill to require guidance on how the Food and Drug Administration will consider claims of opioid sparing and on the conditions under which the Food and Drug Administration will consider misuse and abuse of drugs in making certain determinations of safety.,,"Young, Todd [Sen.-R-IN]",,4/12/18,1,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",4/12/18,"Donnelly, Joe [Sen.-D-IN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Administrative law and regulatory procedures,Department of Health and Human Services,"Drug safety, medical device, and laboratory regulation",Medical ethics,Prescription drugs,Government information and archives,Food and Drug Administration (FDA),Drug trafficking and controlled substances,Health information and medical records,"Drug, alcohol, tobacco use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2666,https://www.congress.gov/bill/115th-congress/senate-bill/2666,115th Congress (2017-2018),Enhance Cybersecurity for Small Manufacturers Act of 2018,,"Coons, Christopher A. [Sen.-D-DE]",,4/12/18,2,,,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",4/12/18,"Graham, Lindsey [Sen.-R-SC]","Gillibrand, Kirsten E. [Sen.-D-NY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Science, Technology, Communications",Computer security and identity theft,Government information and archives,Manufacturing,Small business,Technology transfer and commercialization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2667,https://www.congress.gov/bill/115th-congress/senate-bill/2667,115th Congress (2017-2018),Hemp Farming Act of 2018,,"McConnell, Mitch [Sen.-R-KY]",,4/12/18,29,,,,Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 380.,4/16/18,"Cortez Masto, Catherine [Sen.-D-NV]","Warner, Mark R. [Sen.-D-VA]","King, Angus S., Jr. [Sen.-I-ME]","Merkley, Jeff [Sen.-D-OR]","Kaine, Tim [Sen.-D-VA]","Murphy, Christopher [Sen.-D-CT]","Sanders, Bernard [Sen.-I-VT]","Johnson, Ron [Sen.-R-WI]","Whitehouse, Sheldon [Sen.-D-RI]","Baldwin, Tammy [Sen.-D-WI]","Wyden, Ron [Sen.-D-OR]","Paul, Rand [Sen.-R-KY]","Gardner, Cory [Sen.-R-CO]","Hirono, Mazie K. [Sen.-D-HI]","Alexander, Lamar [Sen.-R-TN]","Gillibrand, Kirsten E. [Sen.-D-NY]","Manchin, Joe, III [Sen.-D-WV]","Ernst, Joni [Sen.-R-IA]","Burr, Richard [Sen.-R-NC]","Udall, Tom [Sen.-D-NM]","Daines, Steve [Sen.-R-MT]","Schatz, Brian [Sen.-D-HI]","Casey, Robert P., Jr. [Sen.-D-PA]","Bennet, Michael F. [Sen.-D-CO]","Hoeven, John [Sen.-R-ND]","Cassidy, Bill [Sen.-R-LA]","Schumer, Charles E. [Sen.-D-NY]","Smith, Tina [Sen.-D-MN]","Tillis, Thomas [Sen.-R-NC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture and Food,Agricultural insurance,Agricultural research,Drug trafficking and controlled substances,General Native American affairs matters,Government studies and investigations,State and local government operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2668,https://www.congress.gov/bill/115th-congress/senate-bill/2668,115th Congress (2017-2018),A bill to require a pilot program on the earning by special operations forces medics of credits towards a physician assistant degree.,,"Burr, Richard [Sen.-R-NC]",,4/12/18,3,,,Senate - Armed Services,Read twice and referred to the Committee on Armed Services.,4/12/18,"Murray, Patty [Sen.-D-WA]","Nelson, Bill [Sen.-D-FL]","Rubio, Marco [Sen.-R-FL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2669,https://www.congress.gov/bill/115th-congress/senate-bill/2669,115th Congress (2017-2018),Advancing Innovation in Alternative Pain and Addiction Therapies Act,,"Hatch, Orrin G. [Sen.-R-UT]",,4/16/18,4,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",4/16/18,"Bennet, Michael F. [Sen.-D-CO]","Donnelly, Joe [Sen.-D-IN]","Scott, Tim [Sen.-R-SC]","Young, Todd [Sen.-R-IN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2670,https://www.congress.gov/bill/115th-congress/senate-bill/2670,115th Congress (2017-2018),STARS Act,,"Blunt, Roy [Sen.-R-MO]",,4/16/18,1,,,Senate - Finance,Read twice and referred to the Committee on Finance.,4/16/18,"King, Angus S., Jr. [Sen.-I-ME]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sales and excise taxes,"Tax administration and collection, taxpayers",Taxation,"Migrant, seasonal, agricultural labor",Health care coverage and access,Health care costs and insurance,Employee benefits and pensions,Comprehensive health care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2671,https://www.congress.gov/bill/115th-congress/senate-bill/2671,115th Congress (2017-2018),Social Security 2100 Act,,"Blumenthal, Richard [Sen.-D-CT]",,4/16/18,2,,,Senate - Finance,Read twice and referred to the Committee on Finance.,4/16/18,"Van Hollen, Chris [Sen.-D-MD]","Gillibrand, Kirsten E. [Sen.-D-NY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Welfare,Aging,Disability assistance,Employment taxes,Government trust funds,Inflation and prices,"Interest, dividends, interest rates",Self-employed,Social security and elderly assistance,Wages and earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2672,https://www.congress.gov/bill/115th-congress/senate-bill/2672,115th Congress (2017-2018),First Division Monument Modification Act,,"Moran, Jerry [Sen.-R-KS]",,4/16/18,1,,,Senate - Energy and Natural Resources,Committee on Energy and Natural Resources Subcommittee on National Parks. Hearings held. With printed Hearing: S.Hrg. 115-526.,8/15/18,"Roberts, Pat [Sen.-R-KS]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Afghanistan,Asia,Conflicts and wars,District of Columbia,Iraq,Kuwait,Middle East,Military history,Military operations and strategy,Military personnel and dependents,Monuments and memorials,Public Lands and Natural Resources,Veterans' organizations and recognition,Armed Forces and National Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2673,https://www.congress.gov/bill/115th-congress/senate-bill/2673,115th Congress (2017-2018),PAPER Act of 2018,,"Cassidy, Bill [Sen.-R-LA]",,4/16/18,2,,,Senate - Rules and Administration,Read twice and referred to the Committee on Rules and Administration.,4/16/18,"Jones, Doug [Sen.-D-AL]","McCaskill, Claire [Sen.-D-MO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Congress,Administrative law and regulatory procedures,Books and print media,Congressional agencies,Congressional operations and organization,Government Publishing Office (GPO),Government information and archives,Libraries and archives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2674,https://www.congress.gov/bill/115th-congress/senate-bill/2674,115th Congress (2017-2018),A bill to amend the Internal Revenue Code of 1986 to eliminate the taxable income limit on percentage depletion for oil and natural gas produced from marginal properties.,,"Inhofe, James M. [Sen.-R-OK]",,4/16/18,0,,,Senate - Finance,Read twice and referred to the Committee on Finance.,4/16/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oil and gas,Taxation,Income tax deductions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2675,https://www.congress.gov/bill/115th-congress/senate-bill/2675,115th Congress (2017-2018),A bill to amend the Internal Revenue Code of 1986 to permanently extend the depreciation rules for property used predominantly within an Indian reservation.,,"Inhofe, James M. [Sen.-R-OK]",,4/16/18,0,,,Senate - Finance,Read twice and referred to the Committee on Finance.,4/16/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxation,Minority and disadvantaged businesses,Indian social and development programs,Income tax deductions,Business investment and capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2676,https://www.congress.gov/bill/115th-congress/senate-bill/2676,115th Congress (2017-2018),Saving Lives Through Proper Notification of Overdoses Act,,"Cassidy, Bill [Sen.-R-LA]",,4/16/18,1,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",4/16/18,"Murphy, Christopher [Sen.-D-CT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health promotion and preventive care,Health information and medical records,Family relationships,Emergency medical services and trauma care,"Drug, alcohol, tobacco use",Right of privacy,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2677,https://www.congress.gov/bill/115th-congress/senate-bill/2677,115th Congress (2017-2018),Electricity Reliability and Fuel Security Act,,"Capito, Shelley Moore [Sen.-R-WV]",,4/16/18,0,,,Senate - Finance,Read twice and referred to the Committee on Finance.,4/16/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxation,Coal,Electric power generation and transmission,Income tax credits,Public utilities and utility rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2678,https://www.congress.gov/bill/115th-congress/senate-bill/2678,115th Congress (2017-2018),Ensuring Access to Quality Recovery Living Act of 2018,,"Kaine, Tim [Sen.-D-VA]",,4/16/18,4,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions. (Sponsor introductory remarks on measure: CR S2142)",4/16/18,"Hatch, Orrin G. [Sen.-R-UT]","Blumenthal, Richard [Sen.-D-CT]","Warren, Elizabeth [Sen.-D-MA]","Hassan, Margaret Wood [Sen.-D-NH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2679,https://www.congress.gov/bill/115th-congress/senate-bill/2679,115th Congress (2017-2018),Veterans Small Business Enhancement Act of 2018,,"Duckworth, Tammy [Sen.-D-IL]",,4/16/18,5,,,Senate - Small Business and Entrepreneurship,Became Public Law No: 115-416.,1/3/19,"Durbin, Richard J. [Sen.-D-IL]","Kennedy, John [Sen.-R-LA]","Cantwell, Maria [Sen.-D-WA]","Tester, Jon [Sen.-D-MT]","Kaine, Tim [Sen.-D-VA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commerce,"Government buildings, facilities, and property",Intergovernmental relations,Small business,State and local government operations,"Veterans' education, employment, rehabilitation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
